mep,109166,110894,157271,157321,157420,160818,160956,162046,162314,164096,164186,168864
96936,,,1,1,-1,-1,1,1,1,-1,-1,-1
96951,0,-1,,,,,,,,,,
96952,1,1,-1,-1,1,-1,1,-1,1,-1,-1,1
96955,1,1,,,,,,,,,,
96978,1,-1,1,1,-1,-1,1,X,1,-1,-1,
96991,1,1,-1,-1,1,-1,1,-1,1,-1,1,-1
96998,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
97058,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
97133,0,-1,,,,,,,,,,
97198,1,-1,,,,,,,,,,
97968,0,-1,1,1,-1,-1,-1,1,0,0,0,-1
111011,0,X,,,,,,,,,,
30482,1,1,-1,-1,1,X,X,X,1,1,-1,1
24942,,,-1,-1,X,-1,1,-1,X,1,-1,0
112014,1,1,,,,,,,,,,
112611,1,-1,1,1,-1,-1,1,1,1,-1,1,-1
112744,1,1,-1,-1,1,-1,1,-1,1,1,-1,-1
112747,,,-1,-1,1,X,X,X,1,-1,-1,-1
112748,1,1,-1,-1,1,-1,1,-1,1,1,-1,-1
113892,X,X,,,,,,,,,,
113959,1,X,,,,,,,,,,
114268,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
118859,1,-1,X,X,X,X,X,X,X,X,X,X
119431,0,-1,,,,,,,,,,
119434,0,,,,,,,,,,,
120478,1,1,-1,-1,1,X,X,-1,1,1,-1,1
124586,-1,-1,X,X,X,1,-1,1,1,0,-1,X
124691,1,1,-1,-1,1,-1,1,X,1,X,-1,X
124692,1,1,-1,-1,1,-1,1,X,1,-1,-1,X
124693,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
124696,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
124700,X,1,1,-1,0,-1,1,-1,1,-1,-1,-1
124701,1,0,0,-1,1,-1,1,0,1,-1,-1,-1
124704,1,-1,-1,0,1,-1,1,X,1,-1,-1,-1
124705,1,1,X,X,X,X,X,X,1,-1,-1,-1
124708,1,-1,1,1,0,-1,1,-1,1,-1,1,-1
124709,1,-1,1,1,0,X,X,X,X,-1,1,-1
124710,1,-1,1,1,1,0,1,1,1,-1,-1,-1
124712,-1,-1,1,1,-1,X,X,X,1,0,-1,-1
124713,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1
124714,-1,-1,1,1,-1,1,-1,1,1,0,-1,-1
124715,-1,-1,1,1,-1,-1,-1,X,1,0,-1,-1
124722,1,1,X,X,X,-1,1,X,1,X,X,-1
24505,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
124726,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1
124734,1,X,1,1,-1,-1,1,1,1,-1,-1,
124735,1,1,-1,-1,1,-1,1,-1,1,X,X,-1
72779,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1
24594,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1
124738,1,1,1,1,-1,1,1,1,1,-1,1,-1
124739,1,1,-1,-1,1,-1,1,-1,1,-1,-1,X
124747,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
124760,1,1,1,1,-1,1,-1,1,1,-1,-1,X
124765,1,1,,,,,,,,,,
124766,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
124770,1,1,1,1,-1,X,X,X,X,X,X,X
124771,1,1,1,1,-1,X,X,X,1,-1,1,-1
124777,1,1,-1,-1,1,-1,1,-1,1,1,1,-1
124779,1,1,,,,,,,,,,
124780,1,-1,1,1,-1,1,0,1,1,-1,1,-1
124781,1,1,-1,-1,1,-1,1,1,1,-1,-1,-1
124784,1,1,0,1,1,-1,1,X,1,-1,X,-1
124785,1,1,1,1,X,-1,1,1,1,0,X,X
124799,1,1,-1,-1,1,-1,1,-1,1,-1,0,-1
124802,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1
124806,0,-1,1,1,-1,X,1,1,0,-1,-1,-1
124807,-1,-1,1,1,-1,-1,1,1,1,-1,-1,-1
124808,-1,-1,1,1,-1,0,1,1,1,-1,-1,-1
124809,-1,X,,,,,,,,,,
124812,1,1,-1,-1,1,-1,1,-1,1,-1,-1,1
124814,1,1,,,,,,,,,,
124818,1,1,,,,,,,,,,
124821,1,1,-1,-1,1,-1,1,-1,1,-1,-1,-1
124822,1,1,-1,-1,1,-1,1,-1,1,-1,-1,1
124828,0,-1,1,1,-1,-1,1,X,1,X,X,X
124831,1,1,1,1,-1,X,X,X,1,X,-1,X
124833,1,X,-1,-1,1,-1,1,-1,1,1,-1,X
124834,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
124835,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
124836,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
124837,1,1,-1,-1,1,-1,1,-1,1,-1,-1,1
124844,1,1,-1,-1,1,-1,1,-1,1,1,-1,X
98341,0,-1,1,1,-1,-1,1,X,1,0,0,-1
124846,1,1,-1,-1,1,-1,1,-1,1,-1,-1,X
124850,1,X,1,1,-1,X,X,X,1,1,0,-1
124852,1,1,-1,-1,1,X,X,X,X,1,-1,X
124856,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
124861,1,1,X,X,X,-1,1,1,1,-1,-1,-1
124862,-1,1,1,1,-1,-1,0,1,X,-1,-1,-1
124866,-1,1,1,1,0,-1,1,-1,1,0,1,-1
124867,1,1,-1,-1,1,1,1,-1,1,-1,-1,X
124872,1,1,-1,-1,1,-1,1,X,X,-1,-1,1
124873,X,-1,1,1,-1,1,-1,1,0,X,X,-1
124875,,,1,1,-1,1,-1,1,1,-1,1,-1
124877,0,-1,X,1,-1,1,-1,1,0,1,-1,X
124884,0,-1,1,1,-1,1,-1,1,0,1,-1,-1
124887,0,-1,1,1,-1,1,-1,1,0,X,X,X
103381,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
124891,1,-1,1,1,-1,1,-1,1,0,1,-1,-1
124895,1,-1,1,1,-1,,,,,,,
124929,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1
124934,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
124936,1,1,-1,-1,1,-1,1,-1,1,1,-1,1
124942,1,1,,,,,,,,,,
124952,1,1,,,,,,,,,,
124953,1,1,,,,,,,,,,
124961,1,1,,,,,,,,,,
124963,1,1,,,,,,,,,,
124965,0,-1,,,,,,,,,,
124970,1,1,,,,,,,,,,
124972,1,1,-1,-1,1,,,,,,,
95074,1,-1,X,X,X,-1,1,1,1,-1,1,-1
124973,X,0,1,1,-1,1,-1,1,1,-1,1,-1
24922,1,1,1,1,-1,-1,1,-1,1,1,1,-1
