mep,4995,5004,5276,4096,3939,3708,3082,2636,2340,2189,220
4412,1,-1,-1,-1,-1,1,1,-1,-1,0,1
4423,1,-1,0,0,-1,1,1,0,-1,1,1
4429,1,-1,-1,-1,-1,1,-1,-1,1,-1,0
4432,-1,1,1,1,1,1,1,1,1,0,1
4436,0,0,0,1,0,1,1,1,1,1,1
4440,1,1,1,-1,0,1,1,-1,1,1,1
4462,0,0,0,-1,0,1,1,-1,-1,1,1
4466,,,,,,,,,1,1,0
4482,1,-1,-1,-1,0,1,1,0,-1,0,1
4507,-1,-1,1,-1,1,1,0,-1,0,1,1
4513,1,-1,-1,-1,-1,1,1,-1,0,-1,1
4514,-1,1,1,1,1,1,1,-1,1,1,1
4516,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4519,-1,1,1,1,1,1,1,0,1,1,1
4521,1,-1,-1,-1,0,1,1,-1,-1,-1,1
4524,,,,,,,,,,,1
4525,1,-1,-1,-1,0,-1,0,0,0,0,-1
4529,-1,1,1,1,1,1,1,-1,1,1,1
4531,-1,1,1,1,1,1,1,1,0,1,0
4532,-1,1,1,0,0,1,0,0,1,0,1
4536,1,-1,-1,-1,0,1,1,-1,-1,-1,1
4537,1,-1,-1,-1,0,1,0,0,-1,0,1
4538,1,-1,-1,-1,-1,1,1,0,-1,-1,1
4540,1,-1,-1,-1,0,1,1,0,-1,0,1
4541,,,,,,,,,1,0,1
4542,0,0,-1,-1,-1,1,1,0,-1,0,1
4544,,,,,,,,,1,0,1
4545,-1,1,1,1,1,1,1,1,0,0,1
4546,1,-1,-1,-1,-1,1,1,-1,-1,-1,1
4550,-1,1,1,1,1,1,1,0,1,1,1
4553,1,1,-1,-1,-1,1,1,-1,0,-1,0
4554,1,1,1,-1,0,1,1,-1,1,1,1
4555,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1
4556,1,-1,-1,-1,-1,1,1,-1,-1,-1,0
4560,1,0,0,1,0,0,1,-1,1,0,0
4562,1,-1,0,0,-1,1,1,0,-1,1,
4746,1,-1,-1,-1,-1,1,1,-1,-1,-1,1
4751,-1,1,1,1,1,1,1,1,1,1,1
5537,1,-1,1,-1,-1,1,1,0,,,
5565,1,-1,-1,-1,-1,1,1,-1,-1,1,
5729,-1,1,1,1,1,1,1,1,0,1,1
5737,0,0,-1,-1,-1,1,1,-1,-1,1,1
5846,-1,1,1,1,1,1,0,1,1,1,1
5956,1,-1,1,1,-1,1,1,-1,-1,1,1
21817,0,0,-1,0,0,-1,1,-1,-1,-1,-1
21818,1,-1,-1,-1,0,1,1,-1,-1,0,1
22097,-1,1,1,1,0,1,1,1,1,1,1
